Software,RP Name,Software Type,Software Class,Research Area,Research Discipline,Software Description,Software's Web Page,Software Documentation/Link,RP Software Documentation
aspect,Stampede-2,,,,,,,,Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/
aspera-cli,Rockfish,Utility,Data transfer Tool,,,"Aspera CLI is a command-line interface tool provided by IBM Aspera for high-speed, secure file transfer, allowing users to automate and script large-scale data transfer operations.",https://github.com/IBM/aspera-cli,https://github.com/IBM/aspera-cli/blob/main/docs/Manual.pdf,
Aspera-Connect,"Stampede-2, Rockfish",application,Data transfer Tool,,,IBM Aspera Connect is an install-on-demand application that facilitates high-speed uploads and downloads with an Aspera transfer server. Description Source:https://www.ibm.com/docs/en/aspera-connect/4.1?topic=aspera-connect-user-guide-linux,https://www.ibm.com/aspera/connect/,https://www.ibm.com/docs/en/aspera-connect/4.1?topic=aspera-connect-user-guide-linux,Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/
Aspherix,Rockfish,application,,,,"Aspherix is a computational tool used for modeling and simulating optical systems and aberrations, particularly in the field of aspherical and freeform optics. It provides precise simulations for designing and optimizing optical components and systems.",https://www.aspherix-dem.com/,,
at-spi2-atk,ACES,,,,,"at-spi2-atk is a part of the Assistive Technology Service Provider Interface (AT-SPI) infrastructure, which is an integral element of the GNOME accessibility project. AT-SPI is a set of tools that provides a way for assistive technologies to interact with graphical user interfaces.",https://wiki.gnome.org/Accessibility,https://gitlab.gnome.org/GNOME/at-spi2-atk,ACES: https://hprc.tamu.edu/software/aces/
at-spi2-core,ACES,,,,,"AT-SPI2-Core is the central component of the Assistive Technology Service Provider Interface, providing APIs for assistive technologies to interact with Linux desktop applications, thereby enhancing accessibility for users with disabilities.",https://wiki.gnome.org/Accessibility,https://gnome.pages.gitlab.gnome.org/at-spi2-core/atk/,ACES: https://hprc.tamu.edu/software/aces/
ATK,ACES,,,,,"ATK provides the set of accessibility interfaces that are implemented by other toolkits and applications. Using the ATK interfaces, accessibility tools have full access to view and control running applications. Description Source:https://hprc.tamu.edu/software/aces/",https://gnome.pages.gitlab.gnome.org/atk/,https://gnome.pages.gitlab.gnome.org/atk/,ACES: https://hprc.tamu.edu/software/aces/
atlas,Rockfish,library,"Modeling, Climate modeling",Sciences,,A library for Numerical Weather Prediction and Climate Modelling,https://sites.ecmwf.int/docs/atlas/,https://sites.ecmwf.int/docs/atlas/c++/,
AUGUSTUS,Bridges-2,,Bioinformatics,Sciences,Biology,"AUGUSTUS is a program that predicts genes in eukaryotic genomic sequences. It can be run on this web server, on a new web server for larger input files or be downloaded and run locally. Description Source:https://bioinf.uni-greifswald.de/augustus/",https://bioinf.uni-greifswald.de/augustus/,https://github.com/Gaius-Augustus/Augustus/tree/master,Bridges-2: https://www.psc.edu/resources/software/augustus
Autoconf,ACES,service,Utilities,,,"Autoconf is a tool for automatically configuring software source code packages to adapt to specific systems, providing a standardized interface for compatibility checks and configuration settings. It is commonly used in the compilation and installation of software on various platforms.",,,ACES: https://hprc.tamu.edu/software/aces/
autoconf-2.69-gcc-9.3.0-u65r6re,KyRIC,service,Utilities,,,"Autoconf is a tool for automatically configuring software source code packages to adapt to specific systems, providing a standardized interface for compatibility checks and configuration settings. It is commonly used in the compilation and installation of software on various platforms.",,,
autoconf-archive-2019.01.06-gcc-9.3.0-lrequrs,KyRIC,service,Utilities,,,"Autoconf is a tool for automatically configuring software source code packages to adapt to specific systems, providing a standardized interface for compatibility checks and configuration settings. It is commonly used in the compilation and installation of software on various platforms.",,,
autodock,Rockfish,application,"docking, structural biology",,,"AutoDock is a suite of automated docking tools. It is designed to predict how small molecules, such as substrates or drug candidates, bind to a receptor of known 3D structure. Description Source:https://autodock.scripps.edu/",https://autodock.scripps.edu/,https://autodock.scripps.edu/documentation/documentation/,
Automake,ACES,service,Utilities,,,"Automake is a tool used in software development to automatically generate Makefiles for building software projects. It simplifies the process of managing dependencies, compiling source code, and creating executable binaries by automatically generating build rules.",,,ACES: https://hprc.tamu.edu/software/aces/
automake-1.16.3-gcc-9.3.0-gqwwc3j,KyRIC,service,Utilities,,,Automake is a build automation tool used as part of the GNU Build System for generating Makefiles. It simplifies the process of creating portable and consistent build systems for software projects by automatically generating Makefiles from Makefile.am input files.,,,
autotools,"Stampede-2, KyRIC, ACES",service,Utilities,,,"Autotools refers to a suite of tools including Autoconf, Automake, and Libtool used in software development for ensuring portability and simplifying the build process. Autoconf is for creating configure scripts, Automake for generating Makefiles, and Libtool for handling shared libraries.",,,"Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  ACES: https://hprc.tamu.edu/software/aces/"
aws-cli,Anvil,utility,Data Transfer tool,,,The AWS Command Line Interface (AWS CLI) is a unified tool to manage your AWS services. Description Source:https://aws.amazon.com/cli/,https://aws.amazon.com/cli/,https://docs.aws.amazon.com/cli/,Anvil: https://www.rcac.purdue.edu/index.php/knowledge/applications/aws-cli
BamTools,"ACES, Bridges-2, Rockfish",,Bioinformatics,Sciences,Biology,"BamTools is a project that provides both a C++ API and a command-line toolkit for reading, writing, and manipulating BAM (genome alignment) files. Description Source:https://github.com/pezmaster31/bamtools/wiki",https://github.com/pezmaster31/bamtools,https://github.com/pezmaster31/bamtools/wiki,"ACES: https://hprc.tamu.edu/software/aces/ ,  Bridges-2: https://www.psc.edu/resources/software/bamtools"
banner,Delta,,,,,,,,
basemap,Stampede-2,library,"analysis, graphing",,,"The matplotlib basemap toolkit is a library for plotting 2D data on maps in Python. It is similar in functionality to GrADS, GMT, the MATLAB Mapping Toolbox and the IDL Mapping Facilities. Description Source:https://matplotlib.org/basemap/stable/",https://github.com/matplotlib/basemap,https://matplotlib.org/basemap/stable/,Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/
basespace,Rockfish,,,,,"BaseSpace Sequence Hub is a cloud environment for analysis, storage, and sharing of genomic data.",https://www.illumina.com/,https://help.basespace.illumina.com/,
bazel,"ACES, Rockfish",,,,,Bazel is a build tool that builds code quickly and reliably. It is used to build the majority of Google's software. Description Source:https://hprc.tamu.edu/software/aces/,https://bazel.build/,https://bazel.build/docs,ACES: https://hprc.tamu.edu/software/aces/
bbftp,Anvil,utility,Data Transfer Tool,,,"bbFTP is a file transfer software. It implements its own transfer protocol, which is optimized for large files (larger than 2GB) and secure as it does not read the password in a file and encrypts the connection information. Description Source:http://software.in2p3.fr/bbftp/",http://software.in2p3.fr/bbftp/,http://software.in2p3.fr/bbftp/doc.3.2.1.html,Anvil: https://www.rcac.purdue.edu/index.php/knowledge/applications/bbftp
bcftools,"Bridges-2, Rockfish",,Bioinformatics,Sciences,Biology,BCFtools is a program for variant calling and manipulating files in the Variant Call Format (VCF) and its binary counterpart BCF. Description Source:https://samtools.github.io/bcftools/howtos/index.html,https://www.htslib.org/doc/bcftools.html,https://samtools.github.io/bcftools/howtos/index.html,Bridges-2: https://www.psc.edu/resources/software/bcftools
bcl2fastq,Rockfish,utility,Bioinformatics,Sciences,Biology,"BCL2FASTQ is a software tool that converts raw sequencing data from Illumina sequencing instruments into the FASTQ format, enabling bioinformatic analysis of genomic sequences.",https://support.illumina.com/sequencing/sequencing_software/bcl2fastq-conversion-software.html,https://support.illumina.com/content/dam/illumina-support/documents/documentation/software_documentation/bcl2fastq/bcl2fastq2-v2-20-software-guide-15051736-03.pdf,
BeautifulSoup,ACES,library,Python library for parsing,,,"Beautiful Soup is a Python library for pulling data out of HTML and XML files. It works with your favorite parser to provide idiomatic ways of navigating, searching, and modifying the parse tree. Description Source:https://www.crummy.com/software/BeautifulSoup/bs4/doc/",https://www.crummy.com/software/BeautifulSoup/,https://www.crummy.com/software/BeautifulSoup/bs4/doc/,ACES: https://hprc.tamu.edu/software/aces/
Bedops,Bridges-2,toolkit,Bioinformatics,Sciences,Biology,"BEDOPS is an open-source command-line toolkit that performs highly efficient and scalable Boolean and other set operations, statistical calculations, archiving, conversion and other management of genomic data of arbitrary scale. Description Source:https://bedops.readthedocs.io/en/latest/",https://bedops.readthedocs.io/en/latest/,https://bedops.readthedocs.io/en/latest/#,Bridges-2: https://www.psc.edu/resources/software/bedops
bedtools,"Bridges-2, Rockfish",,Bioinformatics,Sciences,Biology,"Collectively, the bedtools utilities are a swiss-army knife of tools for a wide-range of genomics analysis tasks. The most widely-used tools enable genome arithmetic: that is, set theory on the genome. Description Source:https://bedtools.readthedocs.io/en/latest/",https://code.google.com/archive/p/bedtools/,https://bedtools.readthedocs.io/en/latest/,Bridges-2: https://www.psc.edu/resources/software/bedtools
bedtools2,Rockfish,,Bioinformatics,Sciences,Biology,"Collectively, the bedtools utilities are a swiss-army knife of tools for a wide-range of genomics analysis tasks. The most widely-used tools enable genome arithmetic: that is, set theory on the genome. Description Source:https://bedtools.readthedocs.io/en/latest/",https://code.google.com/archive/p/bedtools/,https://bedtools.readthedocs.io/en/latest/,
berkeley-db-18.1.40-gcc-9.3.0-gdhsdtz,KyRIC,,,,,Berkeley DB is a family of embedded key-value database libraries providing scalable high-performance data management services to applications. Description Source:https://docs.oracle.com/database/bdb181/,https://www.oracle.com/database/technologies/related/berkeleydb.html,https://docs.oracle.com/database/bdb181/,
BerkeleyGW,Rockfish,,,,,"BerkeleyGW is a free, open source, and massively parallel computational package for electron excited-state properties that is based on the many-body perturbation theory employing the ab initio GW and GW plus Bethe-Salpeter equation methodology. Description Source:http://manual.berkeleygw.org/3.0/overview/",https://berkeleygw.org/,https://berkeleygw.org/documentation/,
binutils,ACES,,Utilities,,,"The GNU Binutils are a collection of binary tools. The main ones are: ld (the GNU linker), as (the GNU assembler), and gold (a new, faster, ELF only linker). Description Source:https://www.gnu.org/software/binutils/",https://www.gnu.org/software/binutils/,https://sourceware.org/binutils/docs-2.42/,ACES: https://hprc.tamu.edu/software/aces/
biocontainers,Stampede-2,,Container,Sciences,Biology,"BioContainers is a community-driven project that provides the infrastructure and basic guidelines to create, manage and distribute bioinformatics packages (e.g conda) and containers (e.g docker, singularity). Description Source:https://biocontainers-edu.readthedocs.io/en/latest/what_is_biocontainers.html",https://biocontainers.pro/,https://biocontainers-edu.readthedocs.io/en/latest/,Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/
bioperl,"Stampede-2, Rockfish",,Programming Language,,,"The Bioperl Project is an international association of users & developers of open source Perl tools for bioinformatics, genomics and life science. Description Source:https://bioperl.org/index.html",https://bioperl.org/index.html,https://bioperl.org/howtos/index.html,Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/
biopp,Rockfish,,,,,BppSuite is a suite of ready-to-use programs for phylogenetic and sequence analysis. Description Source:https://github.com/BioPP/bppsuite,https://github.com/BioPP/bppsuite,https://pbil.univ-lyon1.fr/bpp-doc/bppsuite/bppsuite.html,
Biopython,ACES,,Programming Language,,,Biopython is a set of freely available tools for biological computation written in Python by an international team of developers. Description Source:https://biopython.org/,https://biopython.org/,https://biopython.org/wiki/Documentation,ACES: https://hprc.tamu.edu/software/aces/
Bismark,Bridges-2,,Bioinformatics,,,"Bismark is a program to map bisulfite treated sequencing reads to a genome of interest and perform methylation calls in a single step. The output can be easily imported into a genome viewer, such as SeqMonk, and enables a researcher to analyse the methylation levels of their samples straight away. Description Source:https://www.bioinformatics.babraham.ac.uk/projects/bismark/",https://www.bioinformatics.babraham.ac.uk/projects/bismark/,https://felixkrueger.github.io/Bismark/,Bridges-2: https://www.psc.edu/resources/software/bismark
bison,"OOKAMI, ACES",,GNU parser,,,Bison is a general-purpose parser generator that converts an annotated context-free grammar into a deterministic LR or generalized LR (GLR) parser employing LALR(1) parser tables. Description Source:https://www.gnu.org/software/bison/,https://www.gnu.org/software/bison/,https://www.gnu.org/software/bison/manual/bison.html, ACES: https://hprc.tamu.edu/software/aces/
