Software,RP Name,Software Type,Software Class,Research Area,Research Discipline,Software Description,Software's Web Page,Software Documentation/Link,Example Software Use (link),Area-specific Examples,Containerized Version of Software,RP Documentations for Software,Pathing,RP Name,RP Full Software Doc
AlphaFold,ACES,application,"modeling, bioinformatics",Sciences,"Chemistry, Biology","AlphaFold, the state-of-the-art AI system developed by DeepMind, is able to computationally predict protein structures with unprecedented accuracy and speed. Description Source=https://alphafold.ebi.ac.uk/about ",https://alphafold.ebi.ac.uk/,https://github.com/google-deepmind/alphafold,,,,ACES: https://hprc.tamu.edu/software/aces/,,RANCH,https://tacc.utexas.edu/use-tacc/software-list/
alphafold-gpu,Rockfish,application,"modeling, bioinformatics",Sciences,"Chemistry, Biology","AlphaFold, the state-of-the-art AI system developed by DeepMind, is able to computationally predict protein structures with unprecedented accuracy and speed. Description Source=https://alphafold.ebi.ac.uk/about ",https://alphafold.ebi.ac.uk/,https://github.com/google-deepmind/alphafold,,,,,,OSG,install your own
alphapulldown,Rockfish,application,"modeling, bioinformatics",Sciences,"Chemistry, Biology",AlphaPulldown is a Python package that streamlines protein-protein interaction screens and high-throughput modelling of higher-order oligomers using AlphaFold-Multimer. Description Source=https://github.com/KosinskiLab/AlphaPulldown/tree/main?tab=readme-ov-file,https://github.com/KosinskiLab/AlphaPulldown/tree/main?tab=readme-ov-file,https://github.com/KosinskiLab/AlphaPulldown/tree/main,,,,,,OSN,N/A
amask,Stampede-2,application,,,,"The amask tool exposes the process masks (affinity) of an application will have in a parallel environment, so that users can determine the cores/hardware-threads where each process is allowed to run.",https://github.com/TACC/amask,https://github.com/TACC/amask,,,,,,,
amber,"Bridges-2, Rockfish, Anvil",module,"simulation, bioinformatics",Sciences,Chemistry,Amber is a suite of biomolecular simulation programs together with Amber tools.,https://ambermd.org/,https://ambermd.org/doc12/Amber23.pdf,,,,,/apps/spack/anvil/apps/amber/20-gcc-11.2.0-fn7k43e/bin,,
AMDuProf,"Expanse, Delta",,profiling tool,,,"AMD uProf (“MICRO-prof”) is a software profiling analysis tool for x86 applications running on Windows, Linux and FreeBSD operating systems and provides event information unique to the AMD “Zen”-based processors and AMD Instinct™ MI Series accelerators. AMD uProf enables the developer to better understand the limiters of application performance and evaluate improvements.",https://www.amd.com/en/developer/uprof.html,https://www.amd.com/content/dam/amd/en/documents/developer/uprof-v4.0-gaGA-user-guide.pdf,,,,,,,
anaconda,"Jetstream2, OOKAMI, Anvil, DARWIN, Bridges-2, Rockfish",application,"Python and R repo, AI",,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://www.anaconda.com/,,,,DARWIN: https://docs.hpc.udel.edu/software/anaconda/anaconda,,,
anaconda3,"Expanse, ACES, Rockfish",application,Python and R repo,,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html,,,,,,,
anaconda3_cpu,Delta,application,Python and R repo,,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html,,,,,,,
anaconda3_gpu,Delta,application,Python and R repo,,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html,,,,,,,
anaconda3_mi100,Delta,application,Python and R repo,,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html,,,,,,,
anaconda3_Rcpu,Delta,application,Python and R repo,,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html,,,,,,,
AnnotSV,Rockfish,package,,,,AnnotSV is a program for annotating and ranking structural variations from genomes of several organisms. Description Source=https://lbgi.fr/AnnotSV/Documentation/README.AnnotSV_latest.pdf,https://lbgi.fr/AnnotSV/,https://lbgi.fr/AnnotSV/Documentation/README.AnnotSV_latest.pdf,,,,,,,
ANSYS,"Stampede-2, Bridges-2, Rockfish",application,"simulation, modeling, engineering, fluid dynamics",Engineering,Mechanical Engineering,"ANSYS is an engineering simulation software used for testing and predicting the behavior of components and systems in various fields. It offers tools for finite element analysis (FEA), computational fluid dynamics (CFD), and other multiphysics simulations, enabling engineers to analyze performance, durability, and fluid dynamics under real-world conditions.",https://www.ansys.com/,,,,,,,,
ANSYS-Fluent,DARWIN,application,"simulation, modeling, fluid dynamics",Engineering,Mechanical Engineering,"Fluent is a computational fluid dynamics (CFD) software for simulating and analyzing fluid flow, heat transfer, and chemical reactions, widely used in engineering and research fields. It offers advanced modeling capabilities and a user-friendly interface for complex fluid dynamics studies.",https://www.ansys.com/Products/Fluids/ANSYS-Fluent,,,,,DARWIN: https://docs.hpc.udel.edu/software/ansys-fluent/ansys-fluent,,,
ant,ACES,toolkit,,,,"Apache Ant is a Java library and command-line tool whose mission is to drive processes described in build files as targets and extension points dependent upon each other. The main known usage of Ant is the build of Java applications. Ant supplies a number of built-in tasks allowing to compile, assemble, test and run Java applications. Description Source=https://ant.apache.org/",https://ant.apache.org/,https://ant.apache.org/manual/,,,,,,,
ANTLR,ACES,toolkit,Compilers,,,"ANTLR (ANother Tool for Language Recognition) is a powerful parser generator for reading, processing, executing, or translating structured text or binary files. Description Source=https://www.antlr.org/",https://www.antlr.org/,,,,,,,,
aocc,"Expanse, OOKAMI, ACES, Delta",service,Compilers,,,"AOCC a set of production compilers optimized for software performance when running on AMD host processors using the AMD “Zen” core architecture.The AOCC compiler environment simplifies and accelerates development and tuning for x86 applications built with C, C++, and Fortran languages. Description Source=https://www.amd.com/en/developer/aocc.html ",https://www.amd.com/en/developer/aocc.html,https://www.amd.com/content/dam/amd/en/documents/developer/version-4-1-documents/aocc/aocc-4.1-user-guide.pdf,,,,,,,
AOCC Compiler,Jetstream2,service,Compilers,,,"AOCC a set of production compilers optimized for software performance when running on AMD host processors using the AMD “Zen” core architecture.The AOCC compiler environment simplifies and accelerates development and tuning for x86 applications built with C, C++, and Fortran languages. Description Source=https://www.amd.com/en/developer/aocc.html ",https://www.amd.com/en/developer/aocc.html,https://www.amd.com/content/dam/amd/en/documents/developer/version-4-1-documents/aocc/aocc-4.1-user-guide.pdf,,,,,,,
AOCL,Bridges-2,service,Compilers,,,AOCL is a set of numerical libraries optimized for AMD processors based on the AMD “Zen” core architecture and generations. The tuned implementations of industry-standard math libraries enable rapid development of scientific and high-performance computing applications. Description Source=https://www.amd.com/en/developer/aocl.html,https://www.amd.com/en/developer/aocl.html,https://www.amd.com/content/dam/amd/en/documents/developer/version-4-1-documents/aocl/aocl-4-1-user-guide.pdf,,,,"Bridges:https://www.psc.edu/resources/software/aocl/,",,,
Apptainer,Jetstream2,applicaiton,Container management ,,,"Apptainer, formerly known as Singularity, is an open-source container platform designed to create portable and reproducible environments for scientific computing. It allows users to package applications, their dependencies, and data in a single container that can be run consistently across different computing environments. Description Source: https://apptainer.org/",https://apptainer.org/,https://apptainer.org/documentation/,,,,,,,
APR,ACES,library,,,,"APR (Apache Portable Runtime) is a library that provides a set of APIs designed to abstract away the details of the operating system, thereby offering a consistent interface for programming tasks across different platforms. It facilitates the development of portable applications by providing a standardized set of functions for network communication, file system access, and other system utilities, enhancing portability and reducing the complexity of handling OS-specific differences.",https://apr.apache.org/,https://apr.apache.org/docs/apr/1.7/modules.html,,,,,,,
APR-util,ACES,library,,,,"APR-util is a companion library to the Apache Portable Runtime (APR) that provides a set of additional utilities and interfaces for tasks such as database connectivity, XML parsing, and data structures management. It extends the core functionality of APR, offering developers a broader set of tools for building highly portable and scalable applications across different platforms.",https://apr.apache.org/,https://apr.apache.org/docs/apr-util/1.6/modules.html,,,,,,,
ArcGIS,DARWIN,application,"analysis, mapping",Engineering,Geography,"ArcGIS is a geographic information system (GIS) software for spatial data analysis and mapping, widely used in environmental, urban planning, and geospatial research. It allows for comprehensive management, analysis, and visualization of geographical data.",https://www.esri.com/en-us/arcgis/products/index,https://doc.arcgis.com/en/,,,,DARWIN: https://docs.hpc.udel.edu/software/arcgis/arcgis,,,
archspec,ACES,library,,,,"Archspec aims at providing a standard set of human-understandable labels for various aspects of a system architecture like CPU, network fabrics, etc. and APIs to detect, query and compare them. Description Source=https://github.com/archspec/archspec ",https://github.com/archspec/archspec,https://archspec.readthedocs.io/en/latest/,,,,,,,
aria2,Expanse,Utility,Data Transfer Tool,,,"aria2 is a utility for downloading files. The supported protocols are HTTP(S), FTP, SFTP, BitTorrent, and Metalink. aria2 can download a file from multiple sources/protocols and tries to utilize your maximum download bandwidth. Description Source=https://aria2.github.io/manual/en/html/aria2c.html",https://aria2.github.io/,https://aria2.github.io/manual/en/html/aria2c.html,,,,,,,
arial2,Rockfish,,Data Transfer Tool,,,,,,,,,,,,
arm,OOKAMI,,,,,,,,,,,,,,
arm-modules,OOKAMI,,,,,,,,,,,,,,
armadillo,"ACES, Delta, Rockfish",library,mathematics,Engineering,Mathematics,"Armadillo is a high quality linear algebra library (matrix maths) for the C++ language, aiming towards a good balance between speed and ease of use. It provides high-level syntax and functionality deliberately similar to Matlab. Description Source=https://arma.sourceforge.net/",https://arma.sourceforge.net/,https://arma.sourceforge.net/docs.html,,,,,,,
arpack,Stampede-2,library,mathematics,,Mathematics,ARPACK is a collection of Fortran77 subroutines designed to solve large scale eigenvalue problems. (This library is no longer maintained) Description Source=https://lacsi.rice.edu/software/arpak/default.htm,https://github.com/opencollab/arpack-ng,http://li.mit.edu/Archive/Activities/Archive/CourseWork/Ju_Li/MITCourses/18.335/Doc/ARPACK/Lehoucq97.pdf,,,,,,,
arpack-ng,"Anvil, ACES",library,mathematics,,Mathematics,ARPACK-NG is a collection of Fortran77 subroutines designed to solve large scale eigenvalue problems.,https://github.com/opencollab/arpack-ng,https://github.com/opencollab/arpack-ng/tree/master/DOCUMENTS,,,,,/apps/spack/anvil/apps/arpack-ng/3.8.0-gcc-11.2.0-nf3pjgw/lib64,,
Arriba,Bridges-2,application,,,,Arriba is a command-line tool for the detection of gene fusions from RNA-Seq data. It was developed for the use in a clinical research setting. Description Source=https://github.com/suhrig/arriba,https://github.com/suhrig/arriba,https://arriba.readthedocs.io/en/latest/,,,,,,,
Arrow,ACES,,,,,Apache Arrow is a development platform for in-memory analytics. It contains a set of technologies that enable big data systems to process and move data fast. Description Source=https://arrow.apache.org/docs/,https://arrow.apache.org/,https://arrow.apache.org/docs/,,,,,,,
asciinema,Bridges-2,application,,,,"asciinema is a suite of tools for recording, replaying, and sharing terminal sessions. Description Source=https://docs.asciinema.org/",https://asciinema.org/,https://docs.asciinema.org/,,,,,,,
ASE,ACES,,,,,"ASE is an Atomic Simulation Environment written in the Python programming language with the aim of setting up, steering, and analyzing atomistic simulations. Description Source=https://wiki.fysik.dtu.dk/ase/index.html",https://wiki.fysik.dtu.dk/ase/,https://wiki.fysik.dtu.dk/ase/tutorials/tutorials.html#ase,,,,,,,
aspect,Stampede-2,,,,,,,,,,,,,,
aspera-cli,Rockfish,Utility,Data transfer Tool,,,"Aspera CLI is a command-line interface tool provided by IBM Aspera for high-speed, secure file transfer, allowing users to automate and script large-scale data transfer operations.",https://github.com/IBM/aspera-cli,https://github.com/IBM/aspera-cli/blob/main/docs/Manual.pdf,,,,,,,
Aspera-Connect,"Stampede-2, Rockfish",application,Data transfer Tool,,,IBM Aspera Connect is an install-on-demand application that facilitates high-speed uploads and downloads with an Aspera transfer server. Description Source=https://www.ibm.com/docs/en/aspera-connect/4.1?topic=aspera-connect-user-guide-linux,https://www.ibm.com/aspera/connect/,https://www.ibm.com/docs/en/aspera-connect/4.1?topic=aspera-connect-user-guide-linux,,,,,,,
Aspherix,Rockfish,application,,,,,https://www.aspherix-dem.com/,,,,,,,,
at-spi2-atk,ACES,,,,,"at-spi2-atk is a part of the Assistive Technology Service Provider Interface (AT-SPI) infrastructure, which is an integral element of the GNOME accessibility project. AT-SPI is a set of tools that provides a way for assistive technologies to interact with graphical user interfaces.",https://wiki.gnome.org/Accessibility,https://gitlab.gnome.org/GNOME/at-spi2-atk,,,,,,,
at-spi2-core,ACES,,,,,"AT-SPI2-Core is the central component of the Assistive Technology Service Provider Interface, providing APIs for assistive technologies to interact with Linux desktop applications, thereby enhancing accessibility for users with disabilities.",https://wiki.gnome.org/Accessibility,https://gnome.pages.gitlab.gnome.org/at-spi2-core/atk/,,,,,,,
ATK,ACES,,,,,"ATK provides the set of accessibility interfaces that are implemented by other toolkits and applications. Using the ATK interfaces, accessibility tools have full access to view and control running applications. Description Source=https://hprc.tamu.edu/software/aces/",https://gnome.pages.gitlab.gnome.org/atk/,https://gnome.pages.gitlab.gnome.org/atk/,,,,,,,
atlas,Rockfish,library,"Modeling, Climate modeling",Sciences,,A library for Numerical Weather Prediction and Climate Modelling,https://sites.ecmwf.int/docs/atlas/,https://sites.ecmwf.int/docs/atlas/c++/,,,,,,,
AUGUSTUS,Bridges-2,,Bioinformatics,Sciences,Biology,"AUGUSTUS is a program that predicts genes in eukaryotic genomic sequences. It can be run on this web server, on a new web server for larger input files or be downloaded and run locally. Description Source=https://bioinf.uni-greifswald.de/augustus/",https://bioinf.uni-greifswald.de/augustus/,https://github.com/Gaius-Augustus/Augustus/tree/master,,,,,,,
Autoconf,ACES,service,Utilities,,,,,,,,,,,,
autoconf-2.69-gcc-9.3.0-u65r6re,KyRIC,service,Utilities,,,,,,,,,,,,
autoconf-archive-2019.01.06-gcc-9.3.0-lrequrs,KyRIC,service,Utilities,,,,,,,,,,,,
autodock,Rockfish,application,"docking, structural biology",,,"AutoDock is a suite of automated docking tools. It is designed to predict how small molecules, such as substrates or drug candidates, bind to a receptor of known 3D structure. Description Source=https://autodock.scripps.edu/",https://autodock.scripps.edu/,https://autodock.scripps.edu/documentation/documentation/,,,,,,,
Automake,ACES,service,Utilities,,,,,,,,,,,,
automake-1.16.3-gcc-9.3.0-gqwwc3j,KyRIC,service,Utilities,,,,,,,,,,,,
autotools,"Stampede-2, KyRIC, ACES",service,Utilities,,,,,,,,,,,,
aws-cli,Anvil,utility,Data Transfer tool,,,The AWS Command Line Interface (AWS CLI) is a unified tool to manage your AWS services. Description Source=https://aws.amazon.com/cli/,https://aws.amazon.com/cli/,https://docs.aws.amazon.com/cli/,,,,,,,
BamTools,"ACES, Bridges-2, Rockfish",,Bioinformatics,Sciences,Biology,"BamTools is a project that provides both a C++ API and a command-line toolkit for reading, writing, and manipulating BAM (genome alignment) files. Description Source=https://github.com/pezmaster31/bamtools/wiki",https://github.com/pezmaster31/bamtools,https://github.com/pezmaster31/bamtools/wiki,,,,,,,
banner,Delta,,,,,,,,,,,,,,
basemap,Stampede-2,library,"analysis, graphing",,,"The matplotlib basemap toolkit is a library for plotting 2D data on maps in Python. It is similar in functionality to GrADS, GMT, the MATLAB Mapping Toolbox and the IDL Mapping Facilities. Description Source=https://matplotlib.org/basemap/stable/",https://github.com/matplotlib/basemap,https://matplotlib.org/basemap/stable/,,,,,,,
basespace,Rockfish,,,,,"BaseSpace Sequence Hub is a cloud environment for analysis, storage, and sharing of genomic data.",https://www.illumina.com/,https://help.basespace.illumina.com/,,,,,,,
bazel,"ACES, Rockfish",,,,,Bazel is a build tool that builds code quickly and reliably. It is used to build the majority of Google's software. Description Source=https://hprc.tamu.edu/software/aces/,https://bazel.build/,https://bazel.build/docs,,,,,,,
bbftp,Anvil,utility,Data Transfer Tool,,,"bbFTP is a file transfer software. It implements its own transfer protocol, which is optimized for large files (larger than 2GB) and secure as it does not read the password in a file and encrypts the connection information. Description Source=http://software.in2p3.fr/bbftp/",http://software.in2p3.fr/bbftp/,http://software.in2p3.fr/bbftp/doc.3.2.1.html,,,,,,,
bcftools,"Bridges-2, Rockfish",,Bioinformatics,Sciences,Biology,BCFtools is a program for variant calling and manipulating files in the Variant Call Format (VCF) and its binary counterpart BCF. Description Source=https://samtools.github.io/bcftools/howtos/index.html,https://www.htslib.org/doc/bcftools.html,https://samtools.github.io/bcftools/howtos/index.html,,,,,,,
bcl2fastq,Rockfish,utility,Bioinformatics,Sciences,Biology,"BCL2FASTQ is a software tool that converts raw sequencing data from Illumina sequencing instruments into the FASTQ format, enabling bioinformatic analysis of genomic sequences.",https://support.illumina.com/sequencing/sequencing_software/bcl2fastq-conversion-software.html,https://support.illumina.com/content/dam/illumina-support/documents/documentation/software_documentation/bcl2fastq/bcl2fastq2-v2-20-software-guide-15051736-03.pdf,,,,,,,
BeautifulSoup,ACES,,Python library for parsing,,,"Beautiful Soup is a Python library for pulling data out of HTML and XML files. It works with your favorite parser to provide idiomatic ways of navigating, searching, and modifying the parse tree. Description Source=https://www.crummy.com/software/BeautifulSoup/bs4/doc/",https://www.crummy.com/software/BeautifulSoup/,https://www.crummy.com/software/BeautifulSoup/bs4/doc/,,,,,,,
Bedops,Bridges-2,toolkit,Bioinformatics,Sciences,Biology,"BEDOPS is an open-source command-line toolkit that performs highly efficient and scalable Boolean and other set operations, statistical calculations, archiving, conversion and other management of genomic data of arbitrary scale. Description Source=https://bedops.readthedocs.io/en/latest/",https://bedops.readthedocs.io/en/latest/,https://bedops.readthedocs.io/en/latest/#,,,,,,,
bedtools,"Bridges-2, Rockfish",,Bioinformatics,Sciences,Biology,"Collectively, the bedtools utilities are a swiss-army knife of tools for a wide-range of genomics analysis tasks. The most widely-used tools enable genome arithmetic: that is, set theory on the genome. Description Source=https://bedtools.readthedocs.io/en/latest/",https://code.google.com/archive/p/bedtools/,https://bedtools.readthedocs.io/en/latest/,,,,,,,
bedtools2,Rockfish,,Bioinformatics,Sciences,Biology,"Collectively, the bedtools utilities are a swiss-army knife of tools for a wide-range of genomics analysis tasks. The most widely-used tools enable genome arithmetic: that is, set theory on the genome. Description Source=https://bedtools.readthedocs.io/en/latest/",https://code.google.com/archive/p/bedtools/,https://bedtools.readthedocs.io/en/latest/,,,,,,,
berkeley-db-18.1.40-gcc-9.3.0-gdhsdtz,KyRIC,,,,,Berkeley DB is a family of embedded key-value database libraries providing scalable high-performance data management services to applications. Description Source=https://docs.oracle.com/database/bdb181/,https://www.oracle.com/database/technologies/related/berkeleydb.html,https://docs.oracle.com/database/bdb181/,,,,,,,
BerkeleyGW,Rockfish,,,,,"BerkeleyGW is a free, open source, and massively parallel computational package for electron excited-state properties that is based on the many-body perturbation theory employing the ab initio GW and GW plus Bethe-Salpeter equation methodology. Description Source=http://manual.berkeleygw.org/3.0/overview/",https://berkeleygw.org/,https://berkeleygw.org/documentation/,,,,,,,
binutils,ACES,,Utilities,,,"The GNU Binutils are a collection of binary tools. The main ones are: ld (the GNU linker), as (the GNU assembler), and gold (a new, faster, ELF only linker). Description Source=https://www.gnu.org/software/binutils/",https://www.gnu.org/software/binutils/,https://sourceware.org/binutils/docs-2.42/,,,,,,,
biocontainers,Stampede-2,,Container,Sciences,Biology,"BioContainers is a community-driven project that provides the infrastructure and basic guidelines to create, manage and distribute bioinformatics packages (e.g conda) and containers (e.g docker, singularity). Description Source=https://biocontainers-edu.readthedocs.io/en/latest/what_is_biocontainers.html",https://biocontainers.pro/,https://biocontainers-edu.readthedocs.io/en/latest/,,,,,,,
bioperl,"Stampede-2, Rockfish",,Programming Language,,,"The Bioperl Project is an international association of users & developers of open source Perl tools for bioinformatics, genomics and life science. Description Source=https://bioperl.org/index.html",https://bioperl.org/index.html,https://bioperl.org/howtos/index.html,,,,,,,
biopp,Rockfish,,,,,BppSuite is a suite of ready-to-use programs for phylogenetic and sequence analysis. Description Source=https://github.com/BioPP/bppsuite,https://github.com/BioPP/bppsuite,https://pbil.univ-lyon1.fr/bpp-doc/bppsuite/bppsuite.html,,,,,,,
Biopython,ACES,,Programming Language,,,Biopython is a set of freely available tools for biological computation written in Python by an international team of developers. Description Source=https://biopython.org/,https://biopython.org/,https://biopython.org/wiki/Documentation,,,,,,,
Bismark,Bridges-2,,Bioinformatics,,,"Bismark is a program to map bisulfite treated sequencing reads to a genome of interest and perform methylation calls in a single step. The output can be easily imported into a genome viewer, such as SeqMonk, and enables a researcher to analyse the methylation levels of their samples straight away. Description Source=https://www.bioinformatics.babraham.ac.uk/projects/bismark/",https://www.bioinformatics.babraham.ac.uk/projects/bismark/,https://felixkrueger.github.io/Bismark/,,,,,,,
bison,"OOKAMI, ACES",,GNU parser,,,Bison is a general-purpose parser generator that converts an annotated context-free grammar into a deterministic LR or generalized LR (GLR) parser employing LALR(1) parser tables. Description Source=https://www.gnu.org/software/bison/,https://www.gnu.org/software/bison/,https://www.gnu.org/software/bison/manual/bison.html,,,,,,,
BLAST,"Stampede-2, Bridges-2, Rockfish",application,"Bioinformatics, computational biology, genomics",Sciences,Biology,"BLAST (Basic Local Alignment Search Tool) is a bioinformatics software program used for comparing primary biological sequence information, such as the amino-acid sequences of proteins or the nucleotides of DNA and/or RNA sequences. It's widely used for identifying similarities, understanding evolutionary relationships, and finding functional and structural homologues among sequences in large databases, making it a crucial tool in genomic and proteomic research.",https://blast.ncbi.nlm.nih.gov/Blast.cgi,https://www.ncbi.nlm.nih.gov/books/NBK279690/,https://www.youtube.com/playlist?list=PL7dF9e2qSW0azL2xOKAtxDW7QI8UU4XZ6,,,,,,
blast+,"OOKAMI, ACES",,Bioinformatics,Sciences,Biology,"Blast+ allows users to perform BLAST searches on their own server without size, volume and database restrictions. BLAST+ can be used with a command line so it can be integrated directly into your workflow. Description Source=https://blast.ncbi.nlm.nih.gov/doc/blast-help/downloadblastdata.html",https://blast.ncbi.nlm.nih.gov/Blast.cgi,https://www.ncbi.nlm.nih.gov/books/NBK279690/,,,,,,,
BLAT,Bridges-2,,Bioinformatics,Sciences,Biology,BLAT on DNA is designed to quickly find sequences of 95% and greater similarity of length 25 bases or more. It may miss more divergent or shorter sequence alignments. It will find perfect sequence matches of 20 bases. Description Source=https://genome.ucsc.edu/cgi-bin/hgBlat,https://genome.ucsc.edu/cgi-bin/hgBlat,https://genome.ucsc.edu/goldenpath/help/blatSpec.html,,,,,,,
Blender,ACES,application,,,,"Blender is the free and open source 3D creation suite. It supports the entirety of the 3D pipeline—modeling, rigging, animation, simulation, rendering, compositing and motion tracking, even video editing and game creation. Description Source=https://www.blender.org/about/",https://www.blender.org/,https://docs.blender.org/manual/en/latest/,,,,,,,
blis,"OOKAMI, Stampede-2, Anvil, ACES",,,,,BLIS is an award-winning portable software framework for instantiating high-performance BLAS-like dense linear algebra libraries. Description Source=https://github.com/flame/blis,https://github.com/flame/blis,https://github.com/flame/blis/wiki,,,,,,,
bokeh,ACES,library,Visualization,,,"Bokeh is a Python library for creating interactive visualizations for modern web browsers. It helps you build beautiful graphics, ranging from simple plots to complex dashboards with streaming datasets. Description Source=https://docs.bokeh.org/en/latest/",https://bokeh.org/,https://docs.bokeh.org/en/latest/,,,,,,,
