Software,RP Name,Software's Web Page,Software Documentation,Tutorials,
libepoxy,"ACES, Rockfish",https://github.com/anholt/libepoxy,https://github.com/anholt/libepoxy,https://github.com/anholt/libepoxy,
libevent,KyRIC,https://libevent.org/,http://www.wangafu.net/~nickm/libevent-book/,http://www.wangafu.net/~nickm/libevent-book/,
libevent-2.1.12-gcc-9.3.0-3cujlr5,"OOKAMI, Stampede-2, Anvil, ACES, Delta, Rockfish",https://libevent.org/,http://www.wangafu.net/~nickm/libevent-book/,http://www.wangafu.net/~nickm/libevent-book/,
libfabric,"OOKAMI, ACES, Delta",https://ofiwg.github.io/libfabric/,https://ofiwg.github.io/libfabric/v1.20.1/man/,,
"libfabric, libflame",KyRIC,https://www.cs.utexas.edu/~flame/web/libFLAME.html,https://www.cs.utexas.edu/~flame/web/libFLAME.html#documentation,,
libffi,"Stampede-2, Anvil",https://sourceware.org/libffi/,https://sourceware.org/libffi/,https://sourceware.org/libffi/,
libffi-3.3-gcc-9.3.0-k4ehr4i,"OOKAMI, ACES, Rockfish",https://sourceware.org/libffi/,https://sourceware.org/libffi/,https://sourceware.org/libffi/,
libflame,ACES,https://www.cs.utexas.edu/~flame/web/libFLAME.html,https://www.cs.utexas.edu/~flame/web/libFLAME.html#documentation,,
libgd,ACES,https://libgd.github.io/,https://libgd.github.io/manuals/2.3.0/files/preamble-txt.html,https://libgd.github.io/pages/faq.html,
libgeotiff,ACES,https://github.com/OSGeo/libgeotiff,https://github.com/OSGeo/libgeotiff,,
libgit2,"ACES, Rockfish",https://libgit2.org/,https://libgit2.org/libgit2/#HEAD,https://github.com/libgit2/libgit2/blob/main/README.md#tutorials,
libGLU,KyRIC,https://www.opengl.org/resources/libraries/,https://registry.khronos.org/OpenGL-Refpages/gl2.1/xhtml/gluLookAt.xml,,
libglvnd,ACES,https://github.com/NVIDIA/libglvnd,https://github.com/NVIDIA/libglvnd/blob/master/README.md,,
libgpg-error-1.37-gcc-9.3.0-aezalnn,"Anvil, ACES",https://gnupg.org/software/libgcrypt/index.html,https://gnupg.org/documentation/index.html,https://gnupg.org/documentation/howtos.html,
libgpuarray,KyRIC,http://deeplearning.net/software/libgpuarray/index.html,http://deeplearning.net/software/libgpuarray/manual.html,"https://github.com/Theano/libgpuarray,https://stackoverflow.com/questions/tagged/libgpuarray,https://www.youtube.com/watch?v=r6L1Eix6HSo",
libiconv,KyRIC,https://www.gnu.org/software/libiconv/,https://www.gnu.org/software/libiconv/documentation/libiconv-1.13/,https://www.gnu.org/savannah-checkouts/gnu/libiconv/documentation/libiconv-1.17/iconv.1.html,
libiconv-1.16-gcc-9.3.0-rh6ayrz,"ACES, Rockfish",https://www.gnu.org/software/libiconv/,https://www.gnu.org/software/libiconv/documentation/libiconv-1.13/,https://www.gnu.org/savannah-checkouts/gnu/libiconv/documentation/libiconv-1.17/iconv.1.html,
libidn2-2.3.0-gcc-9.3.0-aqhzlnl,Rockfish,https://www.gnu.org/software/libidn/#libidn2,https://www.gnu.org/software/libidn/libidn2/manual/libidn2.html,https://gitlab.com/libidn/libidn2,
libint,ACES,https://github.com/evaleev/libint,https://github.com/evaleev/libint/wiki,http://web.archive.org/web/20110401201634/http://www.cse.clrc.ac.uk/qcg/projects/libint/libint.html,
libjpeg,"Stampede-2, Anvil, Rockfish",https://libjpeg.sourceforge.net/,http://www.faqs.org/faqs/jpeg-faq/,,
libjpeg-turbo,OOKAMI,,,,
libmesh,ACES,https://libmesh.github.io/,https://libmesh.github.io/doxygen/index.html,,
libnotify,ACES,,,,
libogg,Rockfish,https://xiph.org/ogg/,https://xiph.org/ogg/doc/,https://xiph.org/#resources,
libopus,"ACES, Rockfish",https://opus-codec.org/,https://opus-codec.org/docs/,https://opus-codec.org/examples/,
libpam,KyRIC,,,,
libpciaccess,"OOKAMI, ACES, Rockfish",,,,
libpciaccess-0.16-gcc-9.3.0-fcifgo6,"ACES, Rockfish",,,,
libpng,"ACES, Rockfish",http://www.libpng.org/pub/png/libpng.html,http://www.libpng.org/pub/png/libpng-manual.txt,https://libpng.sourceforge.io/index.html,
libreadline,KyRIC,https://tiswww.case.edu/php/chet/readline/rltop.html,https://tiswww.case.edu/php/chet/readline/readline.html,"https://thoughtbot.com/blog/tab-completion-in-gnu-readline,https://www.bigsmoke.us/readline/shortcuts",
librsvg,KyRIC,https://wiki.gnome.org/Projects/LibRsvg,https://gnome.pages.gitlab.gnome.org/librsvg/Rsvg-2.0/index.html,"https://wiki.gnome.org/Projects/LibRsvg/Tutorial,https://stackoverflow.com/questions/tagged/librsvg",
libseccomp-2.3.3-gcc-9.3.0-qbxca3c,ACES,https://github.com/seccomp/libseccomp,https://github.com/seccomp/libseccomp,https://github.com/seccomp/libseccomp,
libsigsegv-2.12-gcc-9.3.0-ieiqle7,"ACES, Rockfish",https://www.gnu.org/software/libsigsegv/,https://www.gnu.org/software/libsigsegv/,https://www.gnu.org/software/libsigsegv/,
libsndfile,Anvil,http://www.mega-nerd.com/libsndfile/,http://www.mega-nerd.com/libsndfile/api.html,"http://www.mega-nerd.com/libsndfile/api.html,https://stackoverflow.com/questions/39782595/adfs-claims-from-multiple-claim-providers/39783057#39783057",
libsodium,"Anvil, ACES, Rockfish",https://libsodium.gitbook.io/doc/,https://libsodium.gitbook.io/doc/,https://libsodium.gitbook.io/doc/quickstart,
libszip,"ACES, Delta, Rockfish",https://support.hdfgroup.org/doc_resource/SZIP/,https://support.hdfgroup.org/doc_resource/SZIP/,https://support.hdfgroup.org/doc_resource/SZIP/H5_szip_example.html,
libtiff,ACES,,,,
libtirpc,KyRIC,https://sourceforge.net/projects/libtirpc/,https://manpages.ubuntu.com/manpages/focal/man3/rpc.3.html,"https://man7.org/linux/man-pages/man3/rpc.3.html,https://www.ibm.com/docs/en/aix/7.2",
libtool,KyRIC,https://www.gnu.org/software/libtool/,https://www.gnu.org/software/libtool/manual/,https://www.lrde.epita.fr/~adl/autotools.html,
libtool-2.4.6-gcc-9.3.0-nercunn,"OOKAMI, ACES",https://www.gnu.org/software/libtool/,https://www.gnu.org/software/libtool/manual/,https://www.lrde.epita.fr/~adl/autotools.html,
libunistring-0.9.10-gcc-9.3.0-ht5mbj6,Anvil,https://www.gnu.org/software/libunistring/,https://www.gnu.org/software/libunistring/manual/libunistring.html,https://www.gnu.org/software/software.html,
libunwind,ACES,https://www.nongnu.org/libunwind/,https://www.nongnu.org/libunwind/docs.html,,
libv8,ACES,https://v8.dev/,https://v8.dev/docs,https://v8.dev/docs/build,
libvorbis,ACES,https://xiph.org/vorbis/,https://www.xiph.org/vorbis/doc/,"https://openstax.org/general/cnx-404/,https://www.un4seen.com/doc/#bass_vst/BASS_VST_GetVstEffect.html",
libvori,"Anvil, Rockfish",https://gitlab.com/libvori/libvori,https://gitlab.com/libvori/libvori,https://gitlab.com/libvori/libvori,
libwebp,"OOKAMI, ACES, Rockfish",https://developers.google.com/speed/webp,https://developers.google.com/speed/webp/docs/api,https://developers.google.com/speed/webp/docs/using,
libx11,Rockfish,https://www.x.org/wiki/,https://www.x.org/releases/X11R7.7/doc/libxcb/tutorial/index.html,https://www.x.org/wiki/Other/Press/,
libxc,Rockfish,https://www.tddft.org/programs/libxc/,https://www.tddft.org/programs/libxc/,https://www.tddft.org/programs/libxc/functionals/,
libxcb,Rockfish,https://xcb.freedesktop.org/,https://xcb.freedesktop.org/PublicApi/,https://xcb.freedesktop.org/tutorial/,
libXinerama,"Anvil, ACES, Rockfish",https://www.x.org/wiki/,https://www.x.org/releases/X11R7.6/doc/man/man3/Xinerama.3.xhtml,https://www.x.org/releases/X11R7.6/doc/man/man3/Xinerama.3.xhtml#heading5,
libxkbcommon,KyRIC,https://xkbcommon.org/,https://xkbcommon.org/doc/current/,https://github.com/xkbcommon/libxkbcommon,
libxml2,ACES,https://gitlab.gnome.org/GNOME/libxml2/-/wikis/home,https://gnome.pages.gitlab.gnome.org/libxml2/devhelp/general.html,"https://gnome.pages.gitlab.gnome.org/libxml2/tutorial/index.html,https://gnome.pages.gitlab.gnome.org/libxml2/examples/",
libxml2-2.9.10-gcc-9.3.0-pwkeovr,"ACES, Rockfish",https://gitlab.gnome.org/GNOME/libxml2/-/wikis/home,https://gnome.pages.gitlab.gnome.org/libxml2/devhelp/general.html,"https://gnome.pages.gitlab.gnome.org/libxml2/tutorial/index.html,https://gnome.pages.gitlab.gnome.org/libxml2/examples/",
libxslt,ACES,https://gitlab.gnome.org/GNOME/libxslt/-/wikis/home,https://gnome.pages.gitlab.gnome.org/libxslt/devhelp/,https://gnome.pages.gitlab.gnome.org/libxslt/tutorial/libxslttutorial.html,
libxsmm,ACES,https://github.com/libxsmm/libxsmm,https://libxsmm.readthedocs.io/en/latest/,https://libxsmm.readthedocs.io/en/latest/#references,
libyaml,"OOKAMI, KyRIC",https://pyyaml.org/wiki/LibYAML,https://pyyaml.org/wiki/LibYAML#Documentation,https://github.com/yaml/libyaml/tree/master/examples,
lifelines,OOKAMI,https://pypi.org/project/lifelines/,https://lifelines.readthedocs.io/en/latest/,"https://towardsdatascience.com/survival-analysis-in-python-a-model-for-customer-churn-e737c5242822,https://lifelines.readthedocs.io/en/latest/Survival%20Analysis%20intro.html,https://lifelines.readthedocs.io/en/latest/Examples.html",
likwid,Rockfish,https://hpc.fau.de/research/tools/likwid/,https://hpc.fau.de/research/tools/likwid/#TOC-Wiki,https://github.com/RRZE-HPC/likwid,
linaro,ACES,https://www.linaro.org/,,https://www.youtube.com/user/LinaroOrg/videos,
linasm,OOKAMI,https://linasm.sourceforge.net/index.php,https://linasm.sourceforge.net/docs/index.php,https://linasm.sourceforge.net/support/index.php,
LittleCMS,"OOKAMI, ACES, Delta, Rockfish",,,,
lldb,ACES,https://lldb.llvm.org/,https://lldb.llvm.org/use/tutorial.html,https://lldb.llvm.org/use/tutorial.html,
LLVM,"Stampede-2, ACES",,,,
LMDB,Rockfish,,,,
lmod,Stampede-2,https://lmod.readthedocs.io/en/latest/,https://lmod.readthedocs.io/en/latest/010_user.html,"https://docs.tacc.utexas.edu/hpc/stampede2/#environment-modules-and-you,",
localres,Bridges-2,https://pypi.org/project/localres/,,,
loki,"Stampede-2, Rockfish",https://rxdb.info/?utm_source=domains&utm_medium=pizza-redirect&utm_campaign=lokijs.org,https://rxdb.info/quickstart.html,"https://github.com/techfort/LokiJS/,",
lowcharts,Bridges-2,https://www.highcharts.com/,https://www.highcharts.com/docs/index,"https://stackoverflow.com/questions/25415691/extracting-tokens-out-of-a-string-using-regex-in-java/25415750#25415750,https://www.tutorialspoint.com/highcharts/index.htm",
LS-DYNA,Stampede-2,,,,
LSMS,"Expanse, OOKAMI, ACES",,,,
ltools,Stampede-2,,,,
lua,DARWIN,https://www.lua.org/,https://www.lua.org/docs.html,"https://www.lua.org/manual/5.4/,https://www.tutorialspoint.com/lua/index.htm,https://www.udemy.com/topic/lua/",
luatools,KyRIC,,,,
Lumerical,ACES,,,,
lvm2-2.03.05-gcc-9.3.0-nkbdv7u,"OOKAMI, ACES",https://sourceware.org/lvm2/,https://sourceware.org/git/?p=lvm2.git;a=blob_plain;f=README;hb=HEAD,https://www.howtoforge.com/linux_lvm,
Lumerical,ACES,,,,
lz4,KyRIC,https://lz4.org/,https://github.com/lz4/lz4/tree/dev/doc,https://github.com/lz4/lz4/releases/tag/v1.9.4,
M4,ACES,https://www.gnu.org/software/m4/m4.html,https://www.gnu.org/software/m4/manual/,https://www.gnu.org/software/m4/manual/m4.html,
m4-1.4.18-gcc-9.3.0-ry5xd5i,ACES,https://www.gnu.org/software/m4/m4.html,https://www.gnu.org/software/m4/manual/,https://www.gnu.org/software/m4/manual/m4.html,
maeparser,ACES,https://github.com/schrodinger/maeparser,https://github.com/schrodinger/maeparser/blob/master/README.md,https://github.com/schrodinger/maeparser/tree/master/test,
Magics,"KyRIC, ACES",,,,
magma,ACES,http://icl.cs.utk.edu/magma/index.html,,,
make,ACES,https://www.gnu.org/software/make/,https://www.gnu.org/software/make/manual/,"https://makefiletutorial.com/,https://www.gnu.org/software/make/manual/make.html,https://www.cs.swarthmore.edu/~newhall/unixhelp/howto_makefiles.html",
makeinfo,Rockfish,,,,
Mako,Stampede-2,,,,
mamba,Rockfish,https://github.com/mamba-org/mamba,https://mamba.readthedocs.io/en/latest/,https://github.com/mamba-org/mamba/blob/main/README.md,
map_skx,Rockfish,,,"https://www.tutorialsteacher.com/python/python-map-function,https://www.geeksforgeeks.org/python-map-function/",
MARCC_intel,"Stampede-2, DARWIN, Rockfish",,,,
MARS,ACES,,,,
Mathematica,"Jetstream2, Expanse, OOKAMI, Stampede-2, DARWIN, Bridges-2, Rockfish",,,,
MATIO,Delta,,,,
MATLAB,"DARWIN, ACES",,,,
matlab_unlicensed,Rockfish,,,,
Matplotlib,Bridges-2,,,,
maven,Stampede-2,https://maven.apache.org/,https://maven.apache.org/guides/index.html,"https://maven.apache.org/ref/3.6.3/,https://maven.apache.org/guides/getting-started/index.html,https://www.baeldung.com/maven,https://www.tutorialspoint.com/maven/index.htm",
MCell,Rockfish,,,,
mcr,Stampede-2,https://www.mathworks.com/products/compiler/matlab-runtime.html,https://www.mathworks.com/help/compiler/index.html,"https://www.mathworks.com/help/compiler/examples.html,",
mdanalysis,Rockfish,https://www.mdanalysis.org/,https://docs.mdanalysis.org/stable/,https://www.mdanalysis.org/pages/learning_MDAnalysis/,
meep,Rockfish,https://meep.readthedocs.io/en/latest/,https://meep.readthedocs.io/en/latest/,https://meep.readthedocs.io/en/latest/Python_Tutorials/Basics/,
megalodon,Bridges-2,https://nanoporetech.github.io/megalodon/,https://nanoporetech.github.io/megalodon/,https://community.nanoporetech.com/posts/modifications-and-megalodon,
MELT,ACES,,,,
MEME Suite,"Expanse, OOKAMI",,,,
MemoryViewer,"ACES, Rockfish, Rockfish",,,,
mercurial,ACES,https://www.mercurial-scm.org/,https://wiki.mercurial-scm.org/UnderstandingMercurial,"https://wiki.mercurial-scm.org/GitConcepts,https://wiki.mercurial-scm.org/Books,",
Mesa,Bridges-2,,,,
Meson,"Stampede-2, ACES, Rockfish",,,,
Methylpy,ACES,,,,
metis,"KyRIC, Bridges-2",http://glaros.dtc.umn.edu/gkhome/metis/metis/overview,http://glaros.dtc.umn.edu/gkhome/fetch/sw/metis/manual.pdf,,
Miniconda3,KyRIC,,,,
MKL,Stampede-2,,,,
mkl32,Delta,https://www.intel.com/content/www/us/en/developer/tools/oneapi/onemkl.html#gs.52f6n2,https://software.intel.com/content/www/us/en/develop/documentation/onemkl-linux-developer-guide/top.html,https://software.intel.com/content/www/us/en/develop/documentation/onemkl-linux-developer-guide/top/c-standards-compliance.html,
mkmod,OOKAMI,,,,
modtree,OOKAMI,,,,
module-git,ACES,,,,
module-info,Jetstream2,,,,
MONAI,Anvil,,,,
Mongo,Rockfish,,,,
monitor,ACES,,,,
morpheus,"Anvil, Rockfish",https://morpheus.gitlab.io/,https://gitlab.com/morpheus.lab/morpheus/-/wikis/home,"https://morpheus.gitlab.io/model/,https://morpheus.gitlab.io/model/built-in-examples/,https://morpheus.gitlab.io/tutorial/",
motif,KyRIC,https://motif.ics.com/motif,http://www.opengroup.org/openmotif/docs/,https://motif.ics.com/motif-234-release-notes,
mpc,"OOKAMI, Anvil, ACES, Rockfish",https://www.musicpd.org/clients/mpc/,https://www.musicpd.org/doc/mpc/html/,https://github.com/MusicPlayerDaemon/MPD/discussions,
mpc-1.1.0-gcc-9.3.0-vqwlz4l,KyRIC,https://www.musicpd.org/clients/mpc/,https://www.musicpd.org/doc/mpc/html/,https://github.com/MusicPlayerDaemon/MPD/discussions,
mpfr,"KyRIC, DARWIN, Bridges-2",https://www.mpfr.org/,https://www.mpfr.org/mpfr-current/#doc,https://www.mpfr.org/mpfr-current/mpfr.html#Tutorials,
mpfr-4.0.2-gcc-9.3.0-qfh5u7a,"OOKAMI, DARWIN, ACES",https://www.mpfr.org/,https://www.mpfr.org/mpfr-current/#doc,https://www.mpfr.org/mpfr-current/mpfr.html#Tutorials,
MPI,Rockfish,,,,
Mpi4py,"OOKAMI, KyRIC, Delta",,,,
mpiBench,Rockfish,,,,
mpich,Rockfish,https://www.mpich.org/,https://www.mpich.org/documentation/,https://www.mpich.org/documentation/guides/,
msrsync,"Stampede-2, ACES",https://github.com/jbd/msrsync,https://github.com/jbd/msrsync,"https://phoenixnap.com/kb/rsync-command-linux-examples,https://linux.die.net/man/1/rsync",
mummer,Bridges-2,https://mummer4.github.io/,https://mummer4.github.io/manual/manual.html,https://mummer4.github.io/tutorial/tutorial.html,
mumps,Delta,,,,
MVAPICH,"OOKAMI, KyRIC",https://mvapich.cse.ohio-state.edu/,https://mvapich.cse.ohio-state.edu/userguide/,"https://events.prace-ri.eu/event/867/attachments/864/1236/MPI_Advanced-PRACE.pdf,https://cvw.cac.cornell.edu/MPIP2P/",
mvapich-3.0b_s11,Delta,https://mvapich.cse.ohio-state.edu/,https://mvapich.cse.ohio-state.edu/userguide/,"https://events.prace-ri.eu/event/867/attachments/864/1236/MPI_Advanced-PRACE.pdf,https://cvw.cac.cornell.edu/MPIP2P/",
mvapich2,"Jetstream2, Rockfish",https://mvapich.cse.ohio-state.edu/,https://mvapich.cse.ohio-state.edu/static/media/mvapich/mvapich2-2.3.6-userguide.html,"https://events.prace-ri.eu/event/867/attachments/864/1236/MPI_Advanced-PRACE.pdf,https://cvw.cac.cornell.edu/MPIP2P/",
mvapich2-3.0a_s11,"OOKAMI, Stampede-2, DARWIN, Bridges-2, Rockfish",https://mvapich.cse.ohio-state.edu/,https://mvapich.cse.ohio-state.edu/static/media/mvapich/mvapich2-2.3.6-userguide.html,"https://events.prace-ri.eu/event/867/attachments/864/1236/MPI_Advanced-PRACE.pdf,https://cvw.cac.cornell.edu/MPIP2P/",
mysql,Delta,https://www.mysql.com/,https://dev.mysql.com/doc/,https://dev.mysql.com/doc/mysql-getting-started/en/,
NAMD,Rockfish,https://www.ks.uiuc.edu/Research/namd/,https://www.ks.uiuc.edu/Research/namd/2.14/ug/,https://www.ks.uiuc.edu/Training/Tutorials/,
namd3,ACES,https://www.ks.uiuc.edu/Research/namd/,https://www.ks.uiuc.edu/Research/namd/2.14/ug/,https://www.ks.uiuc.edu/Training/Tutorials/,
nanopolish,ACES,https://github.com/jts/nanopolish,https://nanopolish.readthedocs.io/en/latest/,https://nanopolish.readthedocs.io/en/latest/quickstart_consensus.html,
NASM,ACES,,,,
ncbi-vdb,Rockfish,https://www.ncbi.nlm.nih.gov/,https://www.ncbi.nlm.nih.gov/books/NBK3831/,"https://www.ncbi.nlm.nih.gov/guide/training-tutorials/,https://www.ncbi.nlm.nih.gov/home/learn/",
NCCL,"OOKAMI, Bridges-2, Rockfish",,,,
ncdf4,Stampede-2,https://cran.r-project.org/web/packages/ncdf4/index.html,https://cran.r-project.org/web/packages/ncdf4/ncdf4.pdf,,
Ncdu,"Stampede-2, ACES, Rockfish",,,,
ncl_ncarg,"OOKAMI, ACES, Rockfish",https://www.ncl.ucar.edu/,https://www.ncl.ucar.edu/Document/,https://www.ncl.ucar.edu/Applications/,
nco,KyRIC,https://nco.sourceforge.net/,https://nco.sourceforge.net/nco.html,"https://nco.sourceforge.net/nco.html#Example,https://nco.sourceforge.net/nco.html#Tutorial",
ncurses,"Stampede-2, Anvil, Bridges-2, Rockfish",https://invisible-island.net/ncurses/announce.html,https://invisible-island.net/ncurses/announce.html#h3-documentation,https://invisible-island.net/ncurses/announce.html#h4-examples,
ncurses-6.2-gcc-9.3.0-mntyciy,"OOKAMI, Stampede-2, Anvil, ACES",https://invisible-island.net/ncurses/announce.html,https://invisible-island.net/ncurses/announce.html#h3-documentation,https://invisible-island.net/ncurses/announce.html#h4-examples,
ncview,"Anvil, Delta, Rockfish",https://cirrus.ucsd.edu/ncview/,https://cirrus.ucsd.edu/~pierce/docs/ncview.README,https://www.unidata.ucar.edu/software/netcdf/workshops/2010/bestpractices/Packing.html,
netcdf,ACES,https://www.unidata.ucar.edu/software/netcdf/,https://docs.unidata.ucar.edu/netcdf-c/current/,https://docs.unidata.ucar.edu/netcdf-c/current/faq.html,
netcdf-c,Anvil,,,,
netCDF-C++4,"Anvil, ACES, Delta, Rockfish",,,,
netcdf-cxx4,ACES,,,,
netcdf-fortran,"Anvil, Rockfish",,,,
netcdf4-python,Rockfish,https://unidata.github.io/netcdf4-python/,https://unidata.github.io/netcdf4-python/,https://unidata.github.io/netcdf4-python/#quick-install,
netlib-lapack,Rockfish,https://www.netlib.org/,https://www.netlib.org/lapack/index.html,https://www.netlib.org/lapack/index.html#_documentation,
netlib-scalapack,ACES,https://www.netlib.org/,,,
netpbm,ACES,https://netpbm.sourceforge.net/,https://netpbm.sourceforge.net/doc/,https://netpbm.sourceforge.net/getting_netpbm.php,
nettle,"Bridges-2, Rockfish, Rockfish",https://www.lysator.liu.se/~nisse/nettle/,https://www.lysator.liu.se/~nisse/nettle/nettle.html,,
networkx,Rockfish,https://networkx.org/,https://networkx.org/documentation/stable/,https://networkx.org/documentation/stable/tutorial.html,
nextflow,ACES,https://www.nextflow.io/,https://www.nextflow.io/docs/latest/index.html,"https://www.nextflow.io/docs/latest/getstarted.html,https://www.nextflow.io/example1.html",
ngmlr,"OOKAMI, ACES",https://github.com/philres/ngmlr,https://github.com/philres/ngmlr,https://bioconda.github.io/recipes/ngmlr/README.html,
NiBabel,ACES,,,,
ninja,ACES,https://ninja-build.org/,https://ninja-build.org/manual.html,,
nlohmann_json,ACES,https://github.com/nlohmann/json,https://nlohmann.github.io/json/,https://nlohmann.github.io/json/home/faq/,
NLopt,ACES,,,,
nodejs,ACES,https://nodejs.org/en,https://nodejs.org/api/,"https://nodejs.org/en/about/,https://www.w3schools.com/nodejs/,https://developer.mozilla.org/en-US/docs/Learn/Server-side/Express_Nodejs,https://www.freecodecamp.org/news/have-node-js-installed-now-what-learn-node-js-basic-concepts-in-this-node-js-tutorial/,https://www.youtube.com/watch?v=TlB_eWDSMt4",
NSPR,ACES,,,,
NSS,OOKAMI,,,,
nsync,"Anvil, ACES, Rockfish",https://github.com/google/nsync,https://github.com/google/nsync,"https://www.tutorialspoint.com/articles/index.php,https://www.youtube.com/watch?v=LL8wkskDlbs",
null,KyRIC,,,,
numactl,ACES,https://github.com/numactl/numactl,https://man7.org/linux/man-pages/man8/numactl.8.html,"https://access.redhat.com/documentation/en-us/red_hat_enterprise_linux/7/html/virtualization_tuning_and_optimization_guide/sect-virtualization_tuning_optimization_guide-numa-numa_and_libvirt,https://man7.org/linux/man-pages/man8/numactl.8.html#EXAMPLES",
numactl-2.0.14-gcc-9.3.0-x4anv2g,Bridges-2,https://github.com/numactl/numactl,https://man7.org/linux/man-pages/man8/numactl.8.html,"https://access.redhat.com/documentation/en-us/red_hat_enterprise_linux/7/html/virtualization_tuning_and_optimization_guide/sect-virtualization_tuning_optimization_guide-numa-numa_and_libvirt,https://man7.org/linux/man-pages/man8/numactl.8.html#EXAMPLES",
numba,"ACES, Delta, Bridges-2, Rockfish",https://numba.pydata.org/,https://numba.pydata.org/numba-doc/latest/index.html,"https://jakevdp.github.io/blog/2015/02/24/optimizing-python-with-numpy-and-numba/,https://nyu-cds.github.io/python-numba/,https://www.youtube.com/watch?v=x58W9A2lnQc,https://numba.pydata.org/numba-doc/latest/user/5minguide.html,https://towardsdatascience.com/speed-up-your-algorithms-part-2-numba-293e554c5cc1",
numpy,Delta,https://numpy.org/,https://numpy.org/doc/stable/,"https://numpy.org/devdocs/user/quickstart.html,https://www.w3schools.com/python/numpy/default.asp,https://cs231n.github.io/python-numpy-tutorial/,https://www.youtube.com/watch?v=GB9ByFAIAH4,https://www.dataquest.io/blog/numpy-tutorial-python/",
NVHPC,Rockfish,https://developer.nvidia.com/hpc-sdk,https://docs.nvidia.com/hpc-sdk/,,
nvhpc_latest,OOKAMI,,,,
nvhpc-gcc,Jetstream2,,,,
nvidia,ACES,https://www.nvidia.com/,https://docs.nvidia.com/,"https://docs.nvidia.com/cuda/,https://www.nvidia.com/en-us/training/,https://developer.nvidia.com/developer-program,https://developer.nvidia.com/cuda-education,https://developer.nvidia.com/blog/easy-introduction-cuda-c-and-c/",
NVIDIA Compiler,Rockfish,,,,
nvidia-container-cli,Rockfish,,,,
nvidia-system-monitor-qt,ACES,,,,
nvitop,Delta,https://pypi.org/project/nvitop/,https://nvitop.readthedocs.io/en/latest/,https://developer.download.nvidia.com/compute/DCGM/docs/nvidia-smi-367.38.pdf,
NVSHMEM,"Stampede-2, Bridges-2",,,,
nvtop,KyRIC,https://github.com/Syllo/nvtop,https://github.com/Syllo/nvtop,,
NWCHEM,"OOKAMI, Bridges-2",,,,
oclfpga,KyRIC,,,"https://www.intel.com/content/dam/www/programmable/us/en/pdfs/literature/hb/opencl-sdk/aocl_programming_guide.pdf,https://www.intel.com/content/www/us/en/support/programmable/support-resources/devices/opencl-legacy-support.html",
Octave,KyRIC,,,,
ohpc,"Bridges-2, Rockfish",,,,
omb,Rockfish,,,,
ondemand,Stampede-2,https://openondemand.org/,https://osc.github.io/ood-documentation/latest/,,
ondemand-vnc,Rockfish,,,,
oneapi_rk,Rockfish,https://software.intel.com/content/www/us/en/develop/tools/oneapi.html,https://software.intel.com/content/www/us/en/develop/tools/oneapi.html#documentation,"https://software.intel.com/content/www/us/en/develop/tools/devcloud/get-started.html,ttps://software.intel.com/content/www/us/en/develop/tools/oneapi/training.html,https://software.intel.com/content/www/us/en/develop/tools/oneapi/samples.html,ttps://software.intel.com/content/www/us/en/develop/documentation/oneapi-programming-guide/top.html",
oneTBB,Stampede-2,https://www.intel.com/content/www/us/en/developer/tools/oneapi/onetbb.html#gs.52inwd,https://software.intel.com/content/www/us/en/develop/tools/oneapi/components/onetbb/documentation.html,"https://github.com/oneapi-src/oneTBB,https://software.intel.com/content/www/us/en/develop/articles/intel-threading-building-blocks-documentation.html,https://software.intel.com/content/www/us/en/develop/tools/oneapi/components/onetbb.html#gs,https://software.intel.com/content/www/us/en/develop/tools/oneapi/component-samples.html#oneTBB",
ont-guppy,"ACES, Rockfish",,https://docs.confluent.io/platform/current/connect/devguide.html,,
ooops,"OOKAMI, Anvil, ACES, Bridges-2, Rockfish",,,,
openbabel,KyRIC,https://openbabel.org/,https://openbabel.org/docs/,,
OpenBLAS,Rockfish,https://www.openblas.net/,https://github.com/OpenMathLib/OpenBLAS/wiki/User-Manual,"https://github.com/OpenMathLib/OpenBLAS/wiki/Installation-Guide,https://sebastianraschka.com/Articles/2014_multiprocessing.html,https://medium.com/@nehckl0/import-and-optimize-numpy-performance-under-singularity-container-with-python-3-6-on-linux-135105f34b68",
openblas-0.3.13-gcc-9.3.0-mfzw4tk,"ACES, Bridges-2",https://www.openblas.net/,https://github.com/OpenMathLib/OpenBLAS/wiki/User-Manual,"https://github.com/OpenMathLib/OpenBLAS/wiki/Installation-Guide,https://sebastianraschka.com/Articles/2014_multiprocessing.html,https://medium.com/@nehckl0/import-and-optimize-numpy-performance-under-singularity-container-with-python-3-6-on-linux-135105f34b69",
opencarp,ACES,https://opencarp.org/,https://opencarp.org/documentation,"https://opencarp.org/documentation/examples,https://opencarp.org/documentation/video-tutorials,https://opencarp.org/documentation/user-manual",
OpenCV,"OOKAMI, Stampede-2, DARWIN, ACES, Bridges-2",,,,
OpenEXR,Rockfish,,,,
openfoam,ACES,https://www.openfoam.com/,https://www.openfoam.com/documentation/overview,"https://doc.cfd.direct/openfoam/user-guide-v11/index,https://www.openfoam.com/trainings/about-trainings,https://wiki.openfoam.com/Main_Page",
openfoam-org,"Anvil, Rockfish",https://www.openfoam.com/,https://www.openfoam.com/documentation/overview,"https://doc.cfd.direct/openfoam/user-guide-v11/index,https://www.openfoam.com/trainings/about-trainings,https://wiki.openfoam.com/Main_Page",
