software name,RP Name,Description,core features,tags,software type,software class,research field,research area,research discipline,Software's Web Page,Software Documentation,Tutorials
flit,"aces, faster",Flit is a simple tool for building and distributing Python packages.,"Building Python packages, Distributing Python packages","Python packaging, Package management",Building and distribution tool,Package management tool,Computer and Information Sciences,,,,,
lustre,,"Lustre is an open-source parallel distributed file system commonly used for large-scale cluster computing. It is designed for high-performance computing (HPC) environments and is known for its scalability, performance, and reliability.","Parallel distributed file system, Scalable to petabytes of storage, High performance for HPC applications, Support for large numbers of clients","file system, parallel computing, HPC, cluster computing",Distributed File System,File System,Engineering and Technology,Infrastructure and Instrumentation,,,,
modtree,anvil,ModTree is a software tool for the reconstruction of modular trees of mRNA transcripts and alternative splicing events. It is designed to identify and visualize the modular organization of alternative splicing events within a transcriptome.,"1. Reconstruction of modular trees of mRNA transcripts 
2. Identification of alternative splicing events 
3. Visualization of modular organization of alternative splicing events 
4. Analysis of transcriptome data 
5. Modular representation of splicing events","transcriptomics, alternative splicing, modular trees, data analysis",Computational Software,Bioinformatics,Biological Sciences,Transcriptomics,Genetics,https://github.com/falconindy/modtree,https://github.com/falconindy/modtree/blob/master/doc/modtree.1,https://www.rcac.purdue.edu/knowledge/anvil/software/compile/nvidiagpu
run_dbcan,anvil,run_dbcan is a computational pipeline for the automatic annotation of carbohydrate-active enzymes (CAZymes) from metagenomic data. It integrates various tools and databases to predict CAZymes and classify them into different families based on sequence homology and conserved protein domains.,"1. Automatic annotation of CAZymes from metagenomic data
2. Integration of multiple tools and databases for prediction and classification of CAZymes
3. Classification of CAZymes into different families based on sequence homology and conserved domains
4. User-friendly interface for running the pipeline and obtaining annotation results
5. Customization options for adjusting parameters and databases for annotation","computational biology, bioinformatics, metagenomics",Tool,Bioinformatics,Biological Sciences,Metagenomics,Genomics,,,
rust,"aces, darwin, delta, faster, ookami","Rust is a multi-paradigm system programming language focused on safety, speed, and concurrency.","Memory safety without garbage collection, Concurrency without data races, Minimal runtime, Low-level control like C, Strong type system, Pattern matching, Traits for code reuse, Cargo - the package manager and build system","Programming Language, System Programming, Concurrency",Compiler,Programming Language,Computer and Information Sciences,,,https://www.rust-lang.org/,https://doc.rust-lang.org/stable/book/,"https://doc.rust-lang.org/stable/book/ch01-00-getting-started.html , https://doc.rust-lang.org/rust-by-example/ , https://rustlings.cool/ , https://exercism.org/tracks/rust "
jmol,aces,"Jmol is an open-source Java viewer for chemical structures in 3D with features for visualization, analysis, and manipulation of molecular structures.","Jmol allows users to view 3D chemical structures, display crystal structures, visualize protein structures, animate molecules, and perform measurements and analysis on molecular structures. It supports a wide range of file formats for input and output, including CIF, PDB, XYZ, and more. Users can customize the display of molecules with various rendering options, color schemes, and labeling.","molecular visualization, molecular analysis, chemistry",modeling and simulation,visualization,Chemical Sciences,Chemical Sciences,"Physical Chemistry, Inorganic and Nuclear Chemistry",,,
libedit,kyric,"libedit is an open-source library that provides a readline-like interface for line editing in command-line applications. It is a replacement for GNU Readline used in many Unix-like systems, providing similar functionality but with a more permissive open-source license (BSD-style license).","1. Provides line editing and history capabilities for command-line applications.
2. Offers custom key bindings and configuration options.
3. Supports basic features like command history, line editing, and tab completion.
4. Easily integrated into various Unix-like operating systems and applications.","library, command-line, line editing, history, open-source",Tool,Libraries,Computer and Information Sciences,,,,,
allpathslg,anvil,"Allpaths-LG is a whole-genome shotgun assembly algorithm developed for large genomes, especially for those of diploid organisms. It aims to leverage the increased coverage provided by short reads to achieve high-quality assemblies.","- Able to handle large genomes efficiently
- Specifically designed for diploid organisms
- Utilizes short reads for increased coverage
- Capable of generating high-quality assemblies","Genome Assembly, Bioinformatics, NGS Analysis",Genome Assembly Software,Assembly Algorithm,Biological Sciences,Genomics,Genetics,,,
bamkit,faster,"BamKit is a toolkit for analyzing and manipulating BAM files, which are binary sequence alignment/map format files commonly used in bioinformatics for storing mapped sequence data.","BamKit provides functionalities for parsing BAM files, extracting alignment statistics, filtering reads, marking duplicates, sorting reads, and indexing BAM files.","bioinformatics, HPC tools",Tool,Computational Biology,Biological Sciences,,,,,
kissde,anvil,KISSDE (Kinetic Simulator of Synthetic Degradation and Expression) is a software tool for simulating the kinetics of gene expression and protein degradation in synthetic biological systems. It allows users to model the dynamics of gene expression and protein degradation processes to better understand and optimize synthetic genetic circuits.,"Simulation of gene expression dynamics, Modeling protein degradation kinetics, Optimization of synthetic genetic circuits, Analysis of synthetic biological systems","computational biology, bioinformatics",Bioinformatics Tool,Simulation Tool,Biological Sciences,"Synthetic Biology, Systems Biology",Biological Sciences,,,
xvfb,"aces, faster",Xvfb (X virtual framebuffer) is an in-memory display server for Unix-like systems that enable running graphical applications without a display.,"Run graphical applications without a display, Create virtual displays, Lightweight and easy to use","display server, headless, virtual display",Virtual Display Server,Utility,Computer and Information Sciences,,,https://github.com/cypress-io/xvfb,https://linux.die.net/man/1/xvfb,"https://github.com/cypress-io/xvfb#usage , https://elementalselenium.com/tips/38-headless , https://en.wikipedia.org/wiki/Xvfb "
coverage,aces,Coverage is a tool used to measure the extent to which the source code of a program has been tested. It is often used in software development to assess the quality and thoroughness of testing by determining which parts of the code have been executed during testing.,"Measures code coverage to evaluate the effectiveness of test suites, Identifies parts of the code that have not been tested, Helps developers understand the quality of their testing efforts, Can be used to improve test coverage and identify potential gaps in testing","code coverage, testing, software development, quality assurance",Tool,Testing and Quality Assurance,"Engineering and Technology, Computer and Information Sciences, Software Engineering, Systems, and Development",,,,,
amptk,anvil,"Amplicon analysis and metabarcoding toolkit (amptk) is a bioinformatics pipeline for analyzing high-throughput amplicon sequencing data such as 16S rRNA gene sequences and Internal Transcribed Spacer (ITS) sequences. It provides various modules for processing raw sequence data, including demultiplexing, quality filtering, denoising, chimera removal, operational taxonomic unit (OTU) picking, taxonomic assignment, and diversity analysis.","1. Demultiplexing and quality filtering of raw sequencing data.
2. Denoising and dereplication of sequences to remove errors.
3. Chimera removal to improve the accuracy of data.
4. OTU picking based on clustering at specified sequence similarities.
5. Taxonomic assignment of OTUs using reference databases.
6. Diversity analyses for comparing microbial communities.","bioinformatics, amplicon analysis, metabarcoding, high-throughput sequencing, 16S rRNA gene, ITS sequences",,,Biological Sciences,,Biological Sciences,,,
libgpuarray,"aces, faster","libgpuarray is a library that provides a common, numpy-like array object to represent GPU data for array-oriented algorithms in Python. It is designed to work with various libraries whose primary focus is on GPU acceleration, such as Theano or PyCUDA.","1. Provides a common array object for representing GPU data.
2. Designed to work seamlessly with GPU acceleration libraries like Theano and PyCUDA.
3. Facilitates array-oriented computations on GPUs in Python.
4. Offers optimized GPU memory management and data transfer operations.","GPU acceleration, array-oriented algorithms, Python library",Computational Software,Library,Computer and Information Sciences,,,https://github.com/Theano/libgpuarray/tree/master,https://github.com/Theano/libgpuarray/blob/master/doc/conf.py,https://github.com/Theano/libgpuarray/blob/master/doc/installation.rst
r-rhtslib,expanse,"R-rhtslib is an R package that provides an interface to the HTSlib C library, which enables high-performance file input/output with SAM, BAM, and CRAM file formats.","Interface to HTSlib C library for file input/output, Support for SAM, BAM, and CRAM file formats, High-performance data processing, Integration with R environment","R package, HTSlib interface, Data processing, Bioinformatics",Library,Bioinformatics tool,Biological Sciences,Genetics,Bioinformatics,,,
bamtools,"aces, anvil, bridges, expanse, faster","BamTools is a software toolkit for manipulating BAM (Binary Alignment Map) files. It provides both a C++ API for BAM file input and output, and a command-line tool for performing various operations on BAM files.","Efficient BAM file reading and writing, Tools for filtering, sorting, merging, indexing BAM files, Support for extracting regions, statistics, and alignments from BAM files, Integration with other bioinformatics tools","Bioinformatics, BAM files, Sequence alignment, Toolkit",Toolkit,Analysis and Manipulation Tools,Biological Sciences,,,https://github.com/pezmaster31/bamtools,https://github.com/pezmaster31/bamtools/wiki,https://genome.sph.umich.edu/wiki/BamUtil:_convert
osu-micro-benchmarks,"aces, delta, expanse, faster","OSU Micro-Benchmarks is a suite of parallel micro-benchmarks written in C with MPI and OpenMP implementations, designed for evaluating the performance of parallel computing systems and HPC networks.","1. Contains a range of micro-benchmarks to measure various aspects such as latency, bandwidth, and message rate. 2. Supports MPI and OpenMP implementations for evaluating parallel performance. 3. Enables detailed performance analysis for HPC systems and networks. 4. Provides scalability testing capabilities for parallel computing applications.","performance evaluation, HPC, benchmarking",Tool,Benchmarking Tools,Engineering and Technology,,,https://mvapich.cse.ohio-state.edu/benchmarks/,https://mvapich.cse.ohio-state.edu/benchmarks/,https://mvapich.cse.ohio-state.edu/benchmarks/
dropest,anvil,dropest is a statistical software package for carrying out robust power and sample size calculations in two-sample comparisons.,"Some core features of dropest include robust power calculations, sample size calculations, adjustment for non-normality in data, and computation of power curves.","statistical software, power calculations, sample size calculations",Tool,Statistical Software,Statistics and Probability,,,,,
tk,"aces, anvil, delta, faster",Tkinter is a standard GUI toolkit for Python. It is included with most Python installations and is widely used for building desktop applications in Python.,"Cross-platform GUI toolkit, Simple and easy to use, Supports various widgets like buttons, labels, textboxes, etc., Integration with Python programming language, Extensive documentation and community support","GUI, Python, Toolkit, Desktop Applications",Library,GUI Toolkit,"Computer and Information Sciences, Computer Science, Software Engineering, Systems, and Development",,,https://www.tcl.tk/,https://www.tcl.tk/doc/,"https://tkdocs.com/tutorial/index.html,https://www.tutorialspoint.com/python/python_gui_programming.htm,https://www.tcl.tk/man/tcl8.6/TkCmd/contents.html"
db,"aces, faster","db is a simple and minimalistic database library for Python, designed to provide a lightweight interface for basic database operations.","1. Simple and easy-to-use interface for database operations. 2. Support for common database operations like creating tables, inserting data, querying data, updating records, and deleting records. 3. Lightweight and minimalistic design for quick integration into Python projects.","database, Python library",Library,Database Library,"Computer and Information Sciences, Computer Science",,,,,
py-jupyterlab,expanse,"JupyterLab is a web-based interactive development environment for Jupyter notebooks, code, and data. It provides a flexible and extensible platform for exploring, analyzing, and visualizing data.","Interactive development environment, Support for Jupyter notebooks and code editing, Data visualization capabilities, Customizable user interface, Extensible through plugins and extensions","IDE, Data Analysis, Visualization, Notebooks, Web-based",Open Source,Development Environment,Computer and Information Sciences,,,,,
cryosparc,"aces, darwin",CryoSPARC is a comprehensive software platform for cryo-EM data processing that enables high-resolution structure determination of biological macromolecules.,"Automated particle picking, 3D heterogeneity analysis, Ab-initio 3D reconstruction, High-resolution refinement, Model building and validation","cryo-EM, biological macromolecules, structural biology, data processing",Cryo-EM software,Data Processing,Biological Sciences,Structural Biology,Biophysics,,,
r-lazyeval,expanse,"r-lazyeval is an R package that provides a set of tools for non-standard evaluation in R. It allows for delayed evaluation of expressions and promises, enabling advanced programming techniques in R.","1. Provides tools for non-standard evaluation in R.
2. Supports delayed evaluation of expressions.
3. Enables advanced programming techniques.","R package, Non-standard evaluation, Programming",Library,R package,Other Mathematics,,,,,
taxonkit,anvil,"TaxonKit is a fast and versatile toolkit for biological taxonomy. It is designed to support the retrieval and formatting of taxonomic information from popular data sources, such as NCBI and GTDB. TaxonKit aims to provide efficient ways to extract and manipulate taxonomic data for downstream analysis.","1. Retrieval of taxonomic information from NCBI and GTDB databases
2. Batch processing of taxonomic data
3. Formatting and standardization of taxonomic data
4. Integration with other bioinformatics tools and pipelines","bioinformatics, taxonomy, data retrieval, data manipulation",Data retrieval and manipulation,Bioinformatics tool,Biological Sciences,Systematics and Population Biology,Biological Sciences,,,
curl,"aces, anvil, expanse, faster, kyric, ookami","curl is a command-line tool and library for transferring data with URLs. It supports various protocols including HTTP, HTTPS, FTP, FTPS, SCP, SFTP, and more. It is widely used in scripting and automation tasks, as well as for debugging network issues.","Supports various protocols like HTTP, FTP, SCP, SFTP, etc., Allows for easy transfer of data with URLs, Command-line tool for scripting and automation tasks, Highly customizable with many options and configurations","networking, data transfer, command-line, scripting",Networking tool,Command-line tool,"Computer and Information Sciences, Other Computer and Information Sciences",,,https://curl.se/,https://curl.se/docs/,https://curl.se/docs/tutorial.html
exonerate,anvil,Exonerate is a versatile tool for sequence alignment and homology search. It is widely used for comparison of protein and nucleotide sequences against a wide range of genomic databases.,"Flexible sequence alignment and homology search algorithms, Support for protein-protein, DNA-DNA, protein-DNA, and EST-genome alignments, Ability to handle large genomic datasets efficiently, Customizable scoring parameters for alignment, Output in various formats for downstream analysis","sequence alignment, homology search, bioinformatics, genomics",Bioinformatics Tool,Sequence Alignment,Biological Sciences,Genomics,Bioinformatics,,,
libnotify,ookami,libnotify is a library that provides a way to display desktop notifications to users. It is typically used by desktop environments such as GNOME to show notifications for various events and applications.,"1. Display desktop notifications
2. Customizable notification content
3. Support for actions within notifications
4. Integration with desktop environments
5. Cross-platform compatibility","notifications, desktop, library",System software,Library,Other Computer and Information Sciences,,,https://gitlab.gnome.org/GNOME/libnotify,https://gnome.pages.gitlab.gnome.org/libnotify/,https://rox.sourceforge.net/desktop/book/export/html/336.html
glibc,ookami,"glibc, the GNU C Library, is an essential part of most systems running the Linux kernel. It provides the necessary functionality for programs written in the C programming language to interact with the operating system and hardware.","Implementation of the standard C library functions, System calls and low-level interfaces, Dynamic memory allocation and management, Thread support and synchronization, Localization support","C Library, Operating System, System Programming",Library,System Library,Computer and Information Sciences,Systems Programming,Computer and Information Sciences,,,
methylpy,bridges,"methylpy is a Python package designed for the analysis of DNA methylation data obtained from bisulfite sequencing. It provides various tools for processing, analyzing, visualizing, and interpreting DNA methylation data.","Preprocessing of bisulfite sequencing data, Identification of differentially methylated regions (DMRs), Annotation of DMRs with genomic features, Visualization of methylation patterns","DNA methylation, Bisulfite sequencing, Epigenetics, Bioinformatics, Python package",Python library,Analysis tool,Biological Sciences,Epigenomics,Genetics,https://github.com/yupenghe/methylpy,https://github.com/yupenghe/methylpy/tree/methylpy/docs,https://github.com/yupenghe/methylpy/blob/methylpy/tutorial/tutorial.md
ccdb,delta,"CCDB (Cell Cycle Database) is a freely accessible, comprehensive resource for the cell cycle community. It provides information and tools to study cell cycle regulation and its role in cancer and other diseases.","Access to curated cell cycle-related data, Tools for analyzing cell cycle regulation, Links to relevant literature and resources","Cell Cycle, Cell Biology, Database",Curated Data Resource,Database,Biological Sciences,Cell Cycle Regulation,Cell Biology,,,
multichoose,faster,"multichoose is a Python library that implements the concept of multichoose, which calculates the number of ways to choose a certain number of items from a set where each item can be chosen multiple times.","Calculates the number of combinations for choosing items with repetition from a set, Handles scenarios where each item can be chosen multiple times, Supports efficient computation for large numbers of items and repetitions","Python Library, Combinatorics, Mathematics",Mathematical Calculation Tool,Library,Mathematics,Combinatorics,Pure Mathematics,,,
paraview,"aces, anvil, darwin, delta, expanse, faster","ParaView is an open-source, multi-platform data analysis and visualization application. It is designed to handle large data sets and offers a wide range of visualization techniques to analyze and interact with the data.","Supports various data formats including VTK, XML, HDF5, and several others, Render large data sets with interactive exploration capabilities, Offers advanced visualization techniques like volume rendering, contouring, and vector field visualization, Support for scripting with Python, Parallel processing capabilities for faster computation","visualization, data analysis, open-source, multi-platform",Data Visualization,Visualization Software,"Physical Sciences, Engineering and Technology, Natural Sciences, Computer and Information Sciences, Other Natural Sciences",,,https://www.paraview.org/,https://docs.paraview.org/en/latest/,"https://docs.paraview.org/en/latest/UsersGuide/introduction.html , https://docs.paraview.org/en/latest/Tutorials/index.html , https://docs.paraview.org/en/latest/Catalyst/getting_started.html#building-the-example "
revbayes,anvil,RevBayes is a probabilistic programming framework for Bayesian inference of phylogenetic trees and evolutionary parameters.,"RevBayes provides a flexible and customizable environment for specifying complex phylogenetic models, performing Bayesian inference using Markov chain Monte Carlo (MCMC) algorithms, and incorporating various evolutionary models and priors.","phylogenetics, Bayesian inference, evolutionary biology",Probabilistic Programming Tool,Computational Biology,Biological Sciences,Phylogenetics,Systematics and Population Biology,,,
drep,anvil,drep (Dereplicator) is a tool for fast and accurate dereplication of genomes in microbial datasets. It helps to identify and remove duplicate sequences to ensure that downstream analyses are not biased by redundant data.,"Dereplication of microbial genomes, Identification and removal of duplicate sequences, Improving efficiency and accuracy of downstream analyses","microbiome, genome analysis, bioinformatics",Bioinformatics,Algorithm/Tool,Biological Sciences,,,,,
khmer,anvil,"Khmer is a set of tools for working with DNA sequence data that is extremely efficient both in terms of speed and memory consumption. It is designed to pre-process sequencing data to reduce the memory requirements of de Bruijn graph based assemblers for metagenome data. The tools can be used for counting k-mers and finding k-mers that occur many times, trimming and error-trimming data, digital normalization of reads, and partitioning large data sets.","K-mer counting, Data trimming and error-trimming, Digital normalization of reads, Partitioning large data sets","Bioinformatics, HPC tools, Computational software",Bioinformatics Tool,Research Tools,Biological Sciences,,,,,
r-rngtools,expanse,r-rngtools is an R package for random number generation which provides tools to efficiently create pseudorandom and non-uniform random numbers. It includes random number generators with additional functionalities for specifying distributions and independent streams.,"1. Pseudorandom number generation
2. Non-uniform random number generation
3. Additional functionalities for specifying distributions
4. Support for independent streams","R package, Random Number Generation",Library,Statistical Software,Statistics and Probability,,,,,
matlab-engine,faster,The Matlab Engine API for Python provides a Python interface to the MATLAB engine. It enables you to call MATLAB functions and evaluate MATLAB expressions from within your Python environment.,"Allows calling MATLAB functions and evaluating expressions from Python, Enables integration of MATLAB algorithms into Python scripts and applications, Facilitates data sharing between MATLAB and Python environments","Matlab, Python, Integration, Data sharing",API,Interfacing Systems,"Engineering and Technology, Computer and Information Sciences, Other Computer and Information Sciences",,,,,
py-matplotlib,expanse,"Matplotlib is a plotting library for the Python programming language and its numerical mathematics extension NumPy. It provides an object-oriented API for embedding plots into applications using general-purpose GUI toolkits like Tkinter, wxPython, Qt, or GTK.","Matplotlib can generate various types of plots, such as line plots, histogram, bar charts, error charts, scatter plots, etc. It supports customizing plot styles, labels, colors, and markers. Matplotlib can create figures, subplots, and axes for advanced plot layouts. It also allows saving plots in different file formats like PNG, PDF, SVG, etc.","plotting, data visualization, Python library",Library,Data Visualization,Computer and Information Sciences,,,,,
r-later,expanse,r-later is a command-line tool that enables users to delay the execution of a command until a specified time in the future.,"Delay the execution of commands, Schedule commands to run at a specific time, Easy to use command-line interface","command-line tool, scheduler, task automation",Command-line Interface,Utility Tool,Engineering and Technology,,,,,
prodigal,"anvil, bridges",Prodigal is a microbial gene finding program that identifies protein-coding regions in microbial genomes. It uses a combination of intrinsic and extrinsic signals to accurately predict genes in bacterial and archaeal genomes.,"Gene prediction in microbial genomes, Utilizes a combination of intrinsic and extrinsic signals for accuracy, Supports prediction of both start and stop codons, Handles overlapping genes and fragmented assemblies","gene prediction, microbial genomes",Bioinformatics,Gene Prediction,Biological Sciences,Genetics,Biological Sciences,https://github.com/hyattpd/Prodigal/wiki/Introduction,https://github.com/hyattpd/Prodigal/blob/GoogleImport/README.md,"https://github.com/hyattpd/prodigal/wiki/Gene-Prediction-Modes , https://github.com/hyattpd/prodigal/wiki/understanding-the-prodigal-output , https://github.com/hyattpd/prodigal/wiki/cheat-sheet "
bamsurgeon,anvil,"bamsurgeon is a toolkit for adding mutations to a .bam file for use in testing variant calling pipelines. It can be used to spike in synthetic SNVs, indels, and/or denovo SVs to specific genomic coordinates.","1. Spike in synthetic single nucleotide variants (SNVs)
2. Introduce insertions and deletions (indels) at specified genomic locations
3. Add de novo structural variants (SVs) to a given genomic position
4. Allow for customization of mutation rate, allele frequency, and mutation type
5. Test variant calling pipelines by simulating mutations in a controlled manner","genomic data, mutation simulation, variant calling, bioinformatics",Mutation Simulation,Bioinformatics Tool,Biological Sciences,,,,,
spice-server,anvil,"SPICE (Simple Protocol for Independent Computing Environments) is a remote display system that provides a way for virtualized guests to interact with a host. The SPICE server facilitates the sharing of USB devices, audio, video, and more between a guest and a host system. It enables high-quality interactive remote desktop experiences for virtual machines.","Remote display system, Allows sharing of USB devices, audio, and video, Facilitates high-quality interactive remote desktop experiences, Enhances virtual machine interaction with the host system","remote display, virtualization, USB sharing, audio-video sharing",Remote display system,Virtualization,Engineering and Technology,,,,,
gstreamer,"aces, anvil, faster","GStreamer is a multimedia framework that allows the construction of graphs of media-handling components, ranging from simple Ogg/Vorbis playback to complex audio (mixing) and video (non-linear editing) processing. It is designed to be easily extended with new plugins that provide new functionality.",1. Support for a wide range of media formats and protocols. 2. Modular architecture that allows flexible construction of multimedia pipelines. 3. Extensive plugin architecture for additional features and format support. 4. Cross-platform compatibility. 5. Open-source and actively developed community.,"multimedia, framework, media processing, audio, video",Framework,Media Processing,Computer and Information Sciences,,,https://gstreamer.freedesktop.org/,https://gstreamer.freedesktop.org/documentation/,"https://gstreamer.freedesktop.org/documentation/tutorials/basic/index.html?gi-language=c , https://gstreamer.freedesktop.org/documentation/tutorials/table-of-concepts.html?gi-language=c , https://gstreamer.freedesktop.org/documentation/tutorials/index.html?gi-language=c "
